DIRECTORIO;SECUENCIA_P;ORDEN;ESTRATEGIAS;EST_RADIO;EST_TELEVISION;EST_PLATAFORMAS;EST_GUIAS;EST_VISITA;EST_LLAMADA;ESCUCHA_RADIO;P1077S7;P1077S8;P1075;P1077S21;P1077S22;P1077S23;CELULAR_INTELIGENTE;P5305;CELULAR
7247302;1;5;1;2;2;1;1;2;2;2;2;1;1;2;1;2;1;1;1
7247303;1;3;2; ; ; ; ; ; ;1;2;1;1;1;2;2;1;2;1
7247303;1;4;1;1;1;2;2;2;2;2;2;1;1;1;2;2;1;2;1
7247304;1;3;1;2;2;1;1;2;2;2;2;1;1;1;1;1;1;2;1
7247307;1;2;2; ; ; ; ; ; ;2;2;1;1;2;1;1;1;1;1
7247311;1;4;2; ; ; ; ; ; ;2;1;2;1;2;2;2;1;1;1
7247311;2;2;2; ; ; ; ; ; ;2;2;1;1;2;1;2;1;2;1
7247320;1;4;1;1;2;1;1;2;2;2;2;1;1;1;2;2;1;2;1
7247320;1;5;1;2;2;1;1;2;2;2;2;1;1;1;2;2;1;2;1
7247322;1;3;1;2;2;1;1;2;2;2;1;1;1;2;1;2;1;2;1
7247329;1;4;1;2;2;1;1;2;2;2;2;1;2;1;2;2;1;2;1
7247331;1;3;1;2;1;1;1;2;2;1;2;1;1;2;1;2;1;2;1
7247332;1;3;2; ; ; ; ; ; ;2;2;1;1;2;2;1;1;2;1
7247333;1;3;2; ; ; ; ; ; ;2;2;1;2;2;2;2;1;2;1
7247333;1;4;1;2;2;1;1;2;2;2;2;1;2;2;2;2;1;2;1
7247338;1;3;1;2;2;1;1;2;2;2;1;2;2;2;2;2;1;2;1
7247339;1;5;2; ; ; ; ; ; ;2;1;2;2;2;2;2;1;2;1
7247341;1;3;1;2;1;1;1;2;2;2;1;2;2;2;2;2;1;2;1
7247342;1;4;1;1;2;1;1;2;2;2;1;2;2;2;2;2;1;2;1
7247345;1;3;1;2;2;2;1;2;2;2;1;2;2;2;2;2;1;2;1
7247351;1;4;1;2;1;1;1;1;1;2;1;2;2;2;2;1;1;2;1
7247353;1;3;2; ; ; ; ; ; ;2;2;2;2;2;2;1;1;2;1
7247359;1;3;1;2;2;1;2;2;2;2;1;2;2;2;2;2;1;2;1
7247360;1;3;1;2;1;1;1;1;1;2;1;2;1;1;2;2;1;2;1
7247360;1;4;1;2;1;1;1;1;1;2;1;2;1;1;2;2;1;2;1
7247366;1;3;2; ; ; ; ; ; ;2;2;2;2;2;2;2;1;2;1
7247375;1;3;1;1;1;1;1;2;2;1;2;1;1;2;1;2;1;2;1
7247380;1;3;1;1;2;1;1;1;1;2;2;1;1;2;2;2;2;2;1
7247380;1;4;2; ; ; ; ; ; ;2;2;1;1;2;2;2;2;2;1
7247383;1;2;2; ; ; ; ; ; ;2;2;2;1;2;1;2;1;2;1
7247385;1;3;1;1;2;1;1;1;1;2;1;2;1;1;2;2;1;2;1
7247386;1;3;1;2;2;1;1;2;2;2;2;1;1;2;1;2;1;2;1
7247386;1;4;1;2;2;1;1;2;2;2;2;1;1;2;1;2;1;2;1
7247393;1;3;2; ; ; ; ; ; ;2;2;1;1;2;1;2;1;1;1
7247397;1;2;1;1;2;1;1;2;2;2;2;1;2;2;2;2;1;2;1
7247397;1;3;1;1;2;1;1;2;2;2;2;1;2;2;2;2;1;2;1
7247402;1;3;1;2;2;1;1;2;2;1;1;2;2;2;2;2;1;2;1
7247402;1;4;1;2;2;1;1;2;2;1;1;2;2;2;2;2;1;2;1
7247403;1;3;1;2;2;1;1;2;2;1;2;1;2;2;2;1;1;2;1
7247408;1;4;1;2;2;1;1;2;2;2;1;2;2;2;2;2;1;2;1
7247416;1;4;1;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;1
7247417;1;3;1;2;2;1;1;2;2;2;2;1;2;2;2;2;1;2;1
7247418;1;3;1;2;2;1;1;2;2;2;2;1;2;2;2;2;1;2;1
7247422;1;3;1;2;2;1;1;2;2;1;1;2;2;2;2;2;1;2;1
